PROVIDER,PRODUCTID,PRODUCT TYPE,LOAN FROM,TO,MIN DURATION,MAX DURATION,RATE
CARREFOUR FINANCE,CAFI0001,All Loans,6000,7500,31,42,4.49
CARREFOUR FINANCE,CAFI0001,All Loans,6000,7500,7,30,5.4
CARREFOUR FINANCE,CAFI0001,All Loans,15000.01,20000,43,60,5.9
CARREFOUR FINANCE,CAFI0001,All Loans,10000.01,15000,6,6,8.9
CARREFOUR FINANCE,CAFI0001,All Loans,7500.01,10000,43,48,5.9
CARREFOUR FINANCE,CAFI0001,All Loans,3700,3700,6,30,8.9
CARREFOUR FINANCE,CAFI0001,All Loans,15000.01,20000,6,6,8.9
CARREFOUR FINANCE,CAFI0001,All Loans,15000.01,20000,61,84,6.9
CARREFOUR FINANCE,CAFI0001,All Loans,10000.01,15000,43,60,5.9
CARREFOUR FINANCE,CAFI0001,All Loans,7500.01,10000,6,6,8.9
CARREFOUR FINANCE,CAFI0001,All Loans,3700.01,5600,6,36,8.9
CARREFOUR FINANCE,CAFI0001,All Loans,20000.01,40000,7,42,5.4
CARREFOUR FINANCE,CAFI0001,All Loans,15000.01,20000,7,30,5.4
CARREFOUR FINANCE,CAFI0001,All Loans,15000.01,20000,31,42,4.49
CARREFOUR FINANCE,CAFI0001,All Loans,5600.01,5999.99,6,42,8.9
CARREFOUR FINANCE,CAFI0001,All Loans,20000.01,40000,61,84,6.9
CARREFOUR FINANCE,CAFI0001,All Loans,7500.01,10000,7,30,5.4
CARREFOUR FINANCE,CAFI0001,All Loans,7500.01,10000,31,42,4.49
CARREFOUR FINANCE,CAFI0001,All Loans,10000.01,15000,31,42,4.49
CARREFOUR FINANCE,CAFI0001,All Loans,20000.01,40000,6,6,8.9
CARREFOUR FINANCE,CAFI0001,All Loans,6000,7500,6,6,8.9
CARREFOUR FINANCE,CAFI0001,All Loans,10000.01,15000,7,30,5.4
CARREFOUR FINANCE,CAFI0001,All Loans,20000.01,40000,43,60,5.9
